E,X,U,H,P
N,S,L,L,D
N,S,L,M,D
N,S,L,H,S
N,S,L,V,S
N,S,E,L,D
N,S,E,M,S
N,S,E,H,S
N,S,E,V,S
N,S,S,L,D
N,S,S,M,S
N,S,S,H,S
N,S,S,V,S
N,C,L,L,D
N,C,L,M,S
N,C,L,H,S
N,C,L,V,S
N,C,E,L,D
N,C,E,M,S
N,C,E,H,S
N,C,E,V,S
N,C,S,L,S
N,C,S,M,S
N,C,S,H,S
N,C,S,V,S
N,O,L,L,D
N,O,L,M,S
N,O,L,H,S
N,O,L,V,S
N,O,E,L,S
N,O,E,M,S
N,O,E,H,S
N,O,E,V,S
N,O,S,L,S
N,O,S,M,S
N,O,S,H,S
N,O,S,V,O
P,S,L,L,D
P,S,L,M,S
P,S,L,H,S
P,S,L,V,S
P,S,E,L,D
P,S,E,M,S
P,S,E,H,S
P,S,E,V,S
P,S,S,L,S
P,S,S,M,S
P,S,S,H,S
P,S,S,V,S
P,C,L,L,D
P,C,L,M,S
P,C,L,H,S
P,C,L,V,S
P,C,E,L,S
P,C,E,M,S
P,C,E,H,S
P,C,E,V,S
P,C,S,L,S
P,C,S,M,S
P,C,S,H,S
P,C,S,V,O
P,O,L,L,D
P,O,L,M,S
P,O,L,H,S
P,O,L,V,O
P,O,E,L,S
P,O,E,M,S
P,O,E,H,S
P,O,E,V,O
P,O,S,L,S
P,O,S,M,S
P,O,S,H,O
P,O,S,V,O
A,S,L,L,S
A,S,L,M,S
A,S,L,H,O
A,S,L,V,O
A,S,E,L,S
A,S,E,M,S
A,S,E,H,O
A,S,E,V,O
A,S,S,L,S
A,S,S,M,S
A,S,S,H,O
A,S,S,V,O
A,C,L,L,S
A,C,L,M,S
A,C,L,H,O
A,C,L,V,O
A,C,E,L,S
A,C,E,M,S
A,C,E,H,O
A,C,E,V,O
A,C,S,L,S
A,C,S,M,O
A,C,S,H,O
A,C,S,V,O
A,O,L,L,S
A,O,L,M,S
A,O,L,H,O
A,O,L,V,I
A,O,E,L,S
A,O,E,M,O
A,O,E,H,I
A,O,E,V,I
A,O,S,L,O
A,O,S,M,O
A,O,S,H,I
A,O,S,V,I
